Fichier, Mémoire, Temps, Nombre noeuds internes, Nombre moyen clés par noeud, Valeur la plus profonde
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000022,100,1,100
tests/donnee100.txt,43388.000000,0.000024,100,1,100
tests/donnee100.txt,43388.000000,0.000021,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000008,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000083,100,1,100
tests/donnee100.txt,43388.000000,0.000008,100,1,100
tests/donnee100.txt,43388.000000,0.000009,100,1,100
tests/donnee100.txt,43388.000000,0.000008,100,1,100
tests/donnee100.txt,43388.000000,0.000007,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000021,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000023,100,1,100
tests/donnee100.txt,43388.000000,0.000032,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000023,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000009,100,1,100
tests/donnee100.txt,43388.000000,0.000008,100,1,100
tests/donnee100.txt,43388.000000,0.000009,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000007,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000012,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000018,100,1,100
tests/donnee100.txt,43388.000000,0.000066,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000021,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000022,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
tests/donnee100.txt,43388.000000,0.000011,100,1,100
tests/donnee100.txt,43388.000000,0.000007,100,1,100
tests/donnee100.txt,43388.000000,0.000010,100,1,100
tests/donnee100.txt,43388.000000,0.000009,100,1,100
tests/donnee100.txt,43388.000000,0.000022,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000007,100,1,100
tests/donnee100.txt,43388.000000,0.000045,100,1,100
tests/donnee100.txt,43388.000000,0.000045,100,1,100
tests/donnee100.txt,43388.000000,0.000021,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000007,100,1,100
tests/donnee100.txt,43388.000000,0.000019,100,1,100
tests/donnee100.txt,43388.000000,0.000020,100,1,100
