Fichier, Mémoire, Temps, Nombre noeuds internes, Nombre moyen clés par noeud, Valeur la plus profonde
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000006,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000006,500,1,267
tests/random500.txt,109277.000000,0.000005,500,1,267
tests/random500.txt,109277.000000,0.000002,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000005,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000020,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000006,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000002,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000005,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000002,500,1,267
tests/random500.txt,109277.000000,0.000002,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000004,500,1,267
tests/random500.txt,109277.000000,0.000003,500,1,267
tests/random750.txt,91065.000000,0.000007,750,1,336
tests/random750.txt,91065.000000,0.000020,750,1,336
tests/random750.txt,91065.000000,0.000005,750,1,336
tests/random750.txt,91065.000000,0.000008,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000008,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000005,750,1,336
tests/random750.txt,91065.000000,0.000007,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000005,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000019,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000005,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000007,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000006,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000004,750,1,336
tests/random750.txt,91065.000000,0.000003,750,1,336
tests/random750.txt,91065.000000,0.000007,750,1,336
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000021,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000020,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000005,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000015,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000002,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000003,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random1000.txt,120377.000000,0.000006,1000,1,426
tests/random1000.txt,120377.000000,0.000004,1000,1,426
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000003,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000007,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000008,5000,1,3212
tests/random5000.txt,685399.000000,0.000017,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000007,5000,1,3212
tests/random5000.txt,685399.000000,0.000010,5000,1,3212
tests/random5000.txt,685399.000000,0.000008,5000,1,3212
tests/random5000.txt,685399.000000,0.000011,5000,1,3212
tests/random5000.txt,685399.000000,0.000006,5000,1,3212
tests/random5000.txt,685399.000000,0.000006,5000,1,3212
tests/random5000.txt,685399.000000,0.000009,5000,1,3212
tests/random5000.txt,685399.000000,0.000007,5000,1,3212
tests/random5000.txt,685399.000000,0.000009,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random5000.txt,685399.000000,0.000003,5000,1,3212
tests/random5000.txt,685399.000000,0.000004,5000,1,3212
tests/random5000.txt,685399.000000,0.000005,5000,1,3212
tests/random10000.txt,1398483.000000,0.000008,10000,1,1036
tests/random10000.txt,1398483.000000,0.000005,10000,1,1036
tests/random10000.txt,1398483.000000,0.000004,10000,1,1036
tests/random10000.txt,1398483.000000,0.000009,10000,1,1036
tests/random10000.txt,1398483.000000,0.000004,10000,1,1036
