Fichier, Memoire, Temps moyen pour 100 recherches, Nombre de noeuds, Moyenne clé/noeud, Valeur la plus profonde
tests/size25000/random25000_7.txt,196084,0.000278,5692,4.28988,13078
tests/size25000/random25000_8.txt,196439,0.000246,5731,4.26104,7508
tests/size25000/random25000_9.txt,196603,0.000254,5756,4.24236,22978
tests/size50000/random50000_1.txt,381212,0.000248,10837,4.40768,21992
tests/size50000/random50000_2.txt,380843,0.000269,10861,4.39048,33485
tests/size50000/random50000_3.txt,380909,0.000289,10814,4.41456,9271
tests/size50000/random50000_4.txt,381154,0.000364,10857,4.39707,27175
tests/size50000/random50000_5.txt,381611,0.000289,10897,4.38469,27138
tests/size50000/random50000_6.txt,380916,0.000280,10826,4.40994,2205
tests/size50000/random50000_7.txt,380910,0.000263,10846,4.40033,22480
tests/size50000/random50000_8.txt,381154,0.000249,10821,4.41604,30930
tests/size50000/random50000_9.txt,381048,0.000325,10845,4.40443,36320
tests/donnee100.txt,1200,0.000589,100,1,100
tests/donnee150.txt,1406,0.000128,59,2.54237,35
tests/donnee500.txt,4492,0.000159,176,2.84091,90
tests/donnee750.txt,6682,0.000194,258,2.9031,143
tests/donnee1000.txt,12000,0.006876,1000,1,1000
tests/donnee10000.txt,81086,0.000194,2497,3.96876,1960
tests/donnee50000.txt,381056,0.000354,10846,4.40347,7572
