Fichier, Memoire, Temps moyen pour 100 recherches, Nombre de noeuds, Moyenne clé/noeud, Valeur la plus profonde
tests/size25000/random25000_7.txt,357386,0.000030,5692,4.39213,13078
tests/size25000/random25000_8.txt,357901,0.000036,5731,4.36224,7508
tests/size25000/random25000_9.txt,358913,0.000019,5756,4.34329,22978
tests/size50000/random50000_1.txt,698154,0.000035,10837,4.61382,21992
tests/size50000/random50000_2.txt,703165,0.000032,10861,4.60363,33485
tests/size50000/random50000_3.txt,703506,0.000024,10814,4.62364,9271
tests/size50000/random50000_4.txt,705623,0.000019,10857,4.60532,27175
tests/size50000/random50000_5.txt,703847,0.000021,10897,4.58842,27138
tests/size50000/random50000_6.txt,701831,0.000030,10826,4.61851,2205
tests/size50000/random50000_7.txt,704442,0.000033,10846,4.60999,22480
tests/size50000/random50000_8.txt,703224,0.000032,10821,4.62065,30930
tests/size50000/random50000_9.txt,705128,0.000022,10845,4.61042,36320
tests/donnee100.txt,3202,0.000069,100,1,100
tests/donnee150.txt,2640,0.000014,59,2.54237,35
tests/donnee500.txt,8392,0.000012,176,2.84091,90
tests/donnee750.txt,12378,0.000013,258,2.90698,143
tests/donnee1000.txt,32002,0.000437,1000,1,1000
tests/donnee10000.txt,144305,0.000017,2497,4.00481,1960
tests/donnee50000.txt,703377,0.000035,10846,4.60999,7572
