Fichier, Memoire, Temps moyen pour 100 recherches, Nombre de noeuds, Moyenne clé/noeud, Valeur la plus profonde
tests/size25000/random25000_7.txt,251122,0.000201,5692,4.39213,13078
tests/size25000/random25000_8.txt,250795,0.000017,5731,4.36224,7508
tests/size25000/random25000_9.txt,251289,0.000018,5756,4.34329,22978
tests/size50000/random50000_1.txt,500108,0.000036,10837,4.61382,21992
tests/size50000/random50000_2.txt,500591,0.000036,10861,4.60363,33485
tests/size50000/random50000_3.txt,501774,0.000019,10814,4.62364,9271
tests/size50000/random50000_4.txt,503089,0.000025,10857,4.60532,27175
tests/size50000/random50000_5.txt,500529,0.000046,10897,4.58842,27138
tests/size50000/random50000_6.txt,499995,0.000031,10826,4.61851,2205
tests/size50000/random50000_7.txt,502118,0.000021,10846,4.60999,22480
tests/size50000/random50000_8.txt,501658,0.000020,10821,4.62065,30930
tests/size50000/random50000_9.txt,503018,0.000021,10845,4.61042,36320
